#,Country,Cases in the last 7 days,Cases in the preceding  7 days,Weekly Case % Change,Cases in the last 7 days/1M pop,Deaths in the last 7 days,Deaths in the preceding 7 days,Weekly Death % Change,Deaths in the last 7 days/1M pop,Weekly Case Change,Weekly Case Change/1M pop,Weekly Deaths Change,Weekly Deaths Change/1M pop,Population,Continent
28,Afghanistan,730,1065,-31%,18,4,2,+100%,0.1,-335,-8,2,0,40754388,Asia
30,Algeria,6,13,-54%,0.1,0,0,0%,0,-7,-0.2,0,0,45350148,Africa
36,Armenia,34,0,"+3,400%",11,0,0,0%,0,34,11,0,0,2971966,Asia
8,Australia,26471,40159,-34%,1015,131,208,-37%,5,-13688,-525,-77,-3,26068792,Australia/Oceania
38,Austria,1435,2200,-35%,158,9,8,+13%,1,-765,-84,1,0.1,9066710,Europe
39,Azerbaijan,40,89,-55%,4,4,1,+300%,0.4,-49,-5,3,0.3,10300205,Asia
41,Bahrain,251,331,-24%,141,1,1,0%,0.6,-80,-45,0,0,1783983,Asia
42,Bangladesh,536,169,+217%,3,0,0,0%,0,367,2,0,0,167885689,Asia
45,Belgium,655,1066,-39%,56,14,26,-46%,1,-411,-35,-12,-1,11668278,Europe
49,Bhutan,1,2,-50%,1,0,0,0%,0,-1,-1,0,0,787941,Asia
50,Bolivia,836,398,+110%,70,0,1,-100%,0,438,37,-1,-0.1,11992656,South America
51,Bosnia and Herz.,58,22,+164%,18,1,0,+100%,0.3,36,11,1,0.3,3249317,Europe
52,Botswana,43,0,"+4,300%",18,0,0,0%,0,43,18,0,0,2441162,Africa
53,Brazil,6351,23218,-73%,29,69,243,-72%,0.3,-16867,-78,-174,-0.8,215353593,South America
55,Brunei ,0,2614,-100%,0,0,0,0%,0,-2614,-5868,0,0,445431,Asia
56,Bulgaria,562,562,0%,82,13,10,+30%,2,0,0,3,0.4,6844597,Europe
59,Cabo Verde,23,82,-72%,41,0,0,0%,0,-59,-104,0,0,567678,Africa
20,Cambodia,36,27,+33%,2,0,0,0%,0,9,0.5,0,0,17168639,Asia
16,Canada,517,3661,-86%,13,9,65,-86%,0.2,-3144,-82,-56,-1,38388419,North America
66,Chile,292,461,-37%,15,0,0,0%,0,-169,-9,0,0,19250195,South America
67,Colombia,1334,823,+62%,26,17,7,+143%,0.3,511,10,10,0.2,51512762,South America
70,Cook Islands,0,14,-100%,0,0,0,0%,0,-14,-797,0,0,17571,Australia/Oceania
71,Costa Rica,0,2024,-100%,0,0,8,-100%,0,-2024,-391,-8,-2,5182354,North America
73,Croatia,124,163,-24%,31,9,16,-44%,2,-39,-10,-7,-2,4059286,Europe
74,Cuba,215,249,-14%,19,0,0,0%,0,-34,-3,0,0,11305652,North America
77,Czechia,228,277,-18%,21,2,5,-60%,0.2,-49,-5,-3,-0.3,10736784,Europe
79,Denmark,123,363,-66%,21,24,37,-35%,4,-240,-41,-13,-2,5834950,Europe
82,Dominican Rep.,0,73,-100%,0,0,0,0%,0,-73,-7,0,0,11056370,North America
83,Ecuador,509,0,"+50,900%",28,0,0,0%,0,509,28,0,0,18113361,South America
88,Estonia,149,181,-18%,113,0,0,0%,0,-32,-24,0,0,1321910,Europe
89,Ethiopia,20,10,+100%,0.2,0,0,0%,0,10,0.1,0,0,120812698,Africa
21,Finland,226,832,-73%,41,0,4,-100%,0,-606,-109,-4,-0.7,5554960,Europe
13,France,18522,25028,-26%,282,110,211,-48%,2,-6506,-99,-101,-2,65584518,Europe
94,French Polynesia,12,24,-50%,42,0,0,0%,0,-12,-42,0,0,284164,Australia/Oceania
12,Germany,2377,4254,-44%,28,105,252,-58%,1,-1877,-22,-147,-2,83883596,Europe
100,Greece,2163,9729,-78%,210,15,52,-71%,1,-7566,-733,-37,-4,10316637,Europe
103,Guadeloupe,0,183,-100%,0,0,0,0%,0,-183,-458,0,0,399794,North America
104,Guatemala,1151,1120,+3%,62,2,1,+100%,0.1,31,2,1,0.1,18584039,North America
107,Guyana,33,9,+267%,42,0,0,0%,0,24,30,0,0,794045,South America
108,Haiti,0,9,-100%,0,0,0,0%,0,-9,-0.8,0,0,11680283,North America
5,Hong Kong,421,3498,-88%,55,10,91,-89%,1,-3077,-405,-81,-11,7604299,Asia
111,Hungary,171,225,-24%,18,5,3,+67%,0.5,-54,-6,2,0.2,9606259,Europe
22,India,1702,3120,-45%,1,16,27,-41%,0,-1418,-1,-11,0,1406631776,Asia
113,Indonesia,2249,4198,-46%,8,50,65,-23%,0.2,-1949,-7,-15,-0.1,279134505,Asia
114,Iran,266,441,-40%,3,12,19,-37%,0.1,-175,-2,-7,-0.1,86022837,Asia
116,Ireland,0,422,-100%,0,0,25,-100%,0,-422,-84,-25,-5,5020199,Europe
118,Israel,669,811,-18%,72,3,15,-80%,0.3,-142,-15,-12,-1,9326000,Asia
17,Italy,7539,15103,-50%,125,65,158,-59%,1,-7564,-126,-93,-2,60262770,Europe
72,Ivory Coast,1,0,+100%,0,1,0,+100%,0,1,0,1,0,27742298,Africa
119,Jamaica,0,55,-100%,0,0,4,-100%,0,-55,-18,-4,-1,2985094,North America
123,Kiribati,2,2,0%,16,0,0,0%,0,0,0,0,0,123419,Australia/Oceania
124,Kuwait,22,0,"+2,200%",5,0,0,0%,0,22,5,0,0,4380326,Asia
125,Kyrgyzstan,0,2,-100%,0,0,0,0%,0,-2,-0.3,0,0,6728271,Asia
126,Laos,37,32,+16%,5,0,0,0%,0,5,0.7,0,0,7481023,Asia
132,Libya,1,7,-86%,0.1,0,0,0%,0,-6,-0.9,0,0,7040745,Africa
133,Liechtenstein,0,1,-100%,0,0,0,0%,0,-1,-26,0,0,38387,Europe
134,Lithuania,331,392,-16%,124,5,1,+400%,2,-61,-23,4,2,2661708,Europe
10,Macao,3119,845,+269%,4673,1,0,+100%,1,2274,3407,1,1,667490,Asia
137,Madagascar,1,7,-86%,0,0,1,-100%,0,-6,-0.2,-1,0,29178077,Africa
9,Malaysia,0,5801,-100%,0,0,17,-100%,0,-5801,-175,-17,-0.5,33181072,Asia
